제목,내용,게시자,게시날짜
[현대판타지소설☆] 서울역 드루이드 / 진설우 - 먼치킨 타잔 짐승남 깽판물 신타령 뇌절에 하차.,갑자기 갑분싸 지구멸망행 뇌절 뭐죠??? 또볼까 : ★☆☆☆☆☆☆☆☆☆ - 아뇨.. 작위적물핥빨주인공금칠찬양사이비종교화 : ★★★★★☆☆☆☆☆나도 좀 같이 공감해!!! + X 궁시렁 : ★★☆☆☆☆☆☆☆☆ - 초중반 적당히 흐린 눈 킬링타임으로 그럭저럭 볼 정도긴 한데.....,Deareve♥Doll。,2일 전
가격싼 탱글 석류 콜라겐 젤리 스틱 참앤들황토농원 60포 12900원에 득템,가격싼 탱글 석류 콜라겐 젤리 스틱 참앤들황토농원 60포 12900원에 득템 갑분싸 탱글 석류 콜라겐 젤리 스틱 산 이유는 당근마켓 물건파는데 당근이 미녀의 석류 콜라겐 스틱을 5개나 주셨다 평소 콜라겐에 관심있던 난 바로 먹어보았고 또잉 넘나 맛있는데? 가족하나씩...,그래그래,2일 전
[내돈내산]잔망루피 이모티콘 8나온 기념으로 작성하는 카카오톡 잔망루피 이모티콘 4 5 7 8 후기...,같이봐야 귀여우니까^^ 귀엽 갑분싸... 너 눈을 왜 그렇게 떠... ㅋㅋㅋㅋㅋㅋㅋㅋ 계절과 어울리는 이모티콘 나의 새로운 월요일 전용 이모티콘을 찾았다. 이것도 존나 애용할 듯 총 후기 귀여움^^ 캬캬캬캬 어떻게 안사나요?? 사세요 모두!!! 잔망루피 1탄~4탄 후기도...,ᴇᴠᴇʀʏᴅᴀʏ ʟɪғᴇ,3일 전
도쿄 워홀 기록 12 (이웃님만남/이케부쿠로쿠라스시/이케부쿠로카페EDW/선샤인시티가챠구경...,초밥 군함 종류가 많은 곳 : 쿠라스시 종류는 비교적 적지만 가격도 더 적은 곳 : 스시로 근데 스시로랑 다르게 쿠라스시는 먹으면 접시 바로바로 아래 넣는 시스템인데 약간 남의테이블도 그렇고 소리가 좀 커서 좀 어수선하달까 밥먹다가 옆테이블 싸움나서 되는...,私の下手な記録,3일 전
"“콩콩팥팥” 촬영지 강원도 인제 두부맛집 <고향집> 웨이팅 솔직 후기 @콩비지백반, 두부구이",옆 테이블 덕분에 중간부터 맛있게 즐기지 못했다… 무슨 일이 있었냐면… 두부구이가 1cm 도 안된다고 언성 높여서 갑분싸 됨 -> 좀 더 두꺼운 두부로 골라 새로 판 바꿔줬음 -> 두부 새로 나왔는데도 이것저것 트집잡기 시작. 다 멀리서 찾아오는건데 서비스를 이따위로...,˚ ༘♡ ⋆｡˚,3일 전
수하물로붙이는거죠??,화장팩트도 수하물로 붙일 캐리어에 넣었는데 이게맞는지 빼야하는지 갑분싸.... 하아....끝없이 긴가민가 모르는게 투성이예요. 한번에 끝낼수있는걸 캐리어 죄다 열어볼까봐 조마조마스러워요. 쫄보인게 여기서 티나네요ㅜ 캐리어 20인치도 수하물로 붙여도되겟죠??...,"다낭 도깨비 - 베트남 다낭자유여행 ,다낭여행,맛집,호텔리조트",3일 전
[컬라이뷰 No. 2] 다카라즈카 가극단 뮤지컬 '대역전재판 - 신 소생하는 진실(大逆転裁判 ~ 新 · 蘇る真実 ~)',※ 해당 뮤지컬 및 원작 게임 대역전재판 시리즈 전반의 직접 혹은 간접적인 스포일러를 포함하고 있습니다. 유의하시기 바랍니다. ※ 본 리뷰는 철저히 뉴비의 시선에 입각한 자유로운 뻘소리를 기본 모토로 합니다. 다소 두서 없고 자유분방한 표현이 나올 수 있으므로...,어느 변두리의 구멍가게,3일 전
홍대술집 이색적인 분위기 룸포차 7번방 홍대점,들어가면 갑분싸되니까요 진짜 인터레어가 잘되있어서 다른 나라 관광지에 온기분을 들게 합니다 제가 볼때 술이 좀 과해지면 진짜로 헷갈릴거 같긴합니다 역시 홍대술집이라서 그런지 분위기가 너무 좋습니다 저희동내는 분위기가...투다리?? 안주들이 진짜 많은데요...,맛집과 할인정보 공유,3일 전
김승리 선생님께 이 글을 바칩니다..,1번 찍을 때부터 망했음을 직감하고 냄 :) 근데 진짜 공부 제일 안 해서 후회는 없어요 그렇지만 *등급 받을 정도로 안한건 아니고 *등급 받아본적도 없어요 수능이 처음이에요 사문 채점하고 집안 분위기 ㄹㅇ 갑분싸 됨 사람수능 아무도모릅니다진짜로 탐구까지 다 치고...,블로그명을입력하세요,3일 전
마피아게임,"미방 이름 - 마피아 42 모바일게임 최소인원/최대인원 - 4~12명 여러 직업이 있는 마피아게임. 최대인원 12명입니다. 총 3개 팀(마피아, 교주, 시민)이 있습니다. 교주팀은 9명 이상일때만 추가됩니다. 모바일만 되는 걸로 알아요(아마도)",[ 그밈카 ] 괔계관 속 포도나무,3일 전
쌍촌동 파스타 200% 즐길수 있는 방번 노바스타에서 먹고 즐기기,"생등심 돈가스 12,000원 브런치 카페에서 갑분싸 급 메뉴 조합이 꽤 ~ 어울리지 않아보이는데 ... 나만의 착각 일단 보류 맛을 보고 판단을 해야할것 같아요 특이한게 있다면 한쪽에 오므라이스가 있다는 점 브런치 카페는 이런 점이 좋아요~ 식사와 카페를 이동없이 한곳에서...",찌노의 cctv,3일 전
천안 터미널 신부동맛집 신세계백화점_꽃마름 샐러드바,한쪽은 육수에 해산물을 넣고 한쪽은 육수에 무우를 잔뜩 넣었는데 해산물을 넣으면 시원한맛 무우를 넣으면 깔끔한맛의 육수가 완성이 된답니다ㅋㅋㅋ 짝궁이랑랑 먹다가 갑분싸 내가 만든 육수가 더 시원하다며..ㅋㅋ 아무튼!! 어떠한 재료를 넣어도 기본 육수 베이스가...,❤부자시 중개로 114❤,3일 전
갑분싸 싸늘 갑자기 분위기 박명수 무한도전 무도,https://jjalbang.today/view/%EB%AC%B4%ED%95%9C%EB%8F%84%EC%A0%84/8875,"몽키폰 - 핸드폰 성지 휴대폰 전국 최신 시세표, 좌표 제공",3일 전
블로그 너무 재밌다 큰일났다,괜히 분위기 파악 못하고 헛소리했다가 갑분싸 만들까봐 무섭기도 하고ㅜㅜ 내 글이 스스로 이해할 수 없는 알고리즘에 의해 통제할 수 없는 사람들에게 보일 수도 있다고 생각하니 어쩔 수 없이 긴장이 된다. 따지고 보면 알고리즘이나 통제 불가능한 부분은 블로그도...,블로그(이름 못정함),3일 전
"[여의사] 소년, 사랑에 물들다","천목, 갑분싸 소리를 꽥 지르는데... 그, 그저 소고낭을 보고만 있었을 뿐인데 어쩌자고 코피가 팡 터지고 마느냐! 이제야 알겠다. 그는 왜 경성을 떠나고 싶지 않았는지... 그는 왜 청풍루의 음식을 계속 먹으려고 했는지... 그는 왜 자신과 무관한 일을 자꾸 했는지......","그, 작고 푸른 틈",3일 전
하주석 선수가 양석환 보상선수로 두산에 간다면...?,하주석 선수가 십자인대 부상 이후로 폼이 떨어지고 있고 음주운전 사건까지 나오면서 여론이 안좋아지고 있죠... 그래도 우리 프랜차이즈 선수이고 기본 실력이 있는 선수라 보상선수로 주기에 아깝네요... 여러분들 생각은 어떠신가요...?,Only one Hanwha (한화 이글스 팬 카페 since 2010),3일 전
어제 날짜 선셋입니당,같이 온 언니는 어제 한국으로 가고..좋은 날씨 하루는 겪고 가서 다행입니당 이미 눈치 채셨겠지만 저는 참 사진을 못찍는 똥손입니다 그래도 남은시간동안 열심히 찍어보겠습니당 이제 슬슬 해장하러 나가봐야겠습니당,[예스 보라카이; yebo] 보라카이 여행자들의 찐 정보 커뮤니티,3일 전
시어머니가 자꾸 남자들은 모른다~ 하는데,않고 하루에 연락 3번씩오고 안물어봐도 몇시에 들어갈지 미리 얘기해주던데?? 왜 다 듣는앞에서 굳이 모두를 불편하게 시아버지 흉보면서 저런얘기 계속하시는지 모르겠어요 오빠는 안 그러는데요~ 해도 갑분싸될거고 같이 남편 디스하고싶지도 않고 어떻게 대응하면 좋나요?,"레몬테라스 [인테리어,리폼,DIY,요리,결혼,육아]",3일 전
몬베베의 공시생 탈출기 (몬스타엑스와 주헌 덕이 90퍼센트…),혹시 갑분싸 될까봐 ㅋㅋㅋㅋㅋ 일단 전 날 미리 고지함 ㅋㅋㅋㅋㅋㅋ 하지만 결과는 아무한테도 말할 생각이 없었다 … 추석 때 갑분싸 되기 싫기 때문에 추석 끝나고 말한다 부모님한테 통보하구… 전화 다 무시함 …ㅋㅋ 알바였음 ㅋㅋㅋㅋ 그리고 나 숙소 잡아서 집에...,M bebe :),3일 전
