제목,내용,게시자,게시날짜
일하기 싫어서 쓰는 근황,근데 옆에있는 발톱 보니까 걍 스불재인거임..도대체 왜 발톱 안깎음? 더러워 그리고 자현님이 준 마카롱 (ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ)이렇게 더러운 사진 옆에 붙여서 미안합니다....,SOGUEM,3일 전
솜인형 자수 색 바꾸기 :: 못참고 스스로 칠해버리다,"또 다른 오타쿠 스불재 게시글 써야 함) 단, 왼쪽의 끝이 네모낳고 단단한 마커형이 아닌, 오른쪽의 뾰족하고 부드러운 붓형을 사용했습니다. 마커형은 한 번만 슥 그어도 발색이 워낙 뛰어나서 자칫하면 눈동자 테두리 색만 동동 뜨게 될 거 같더라고요. 마커형보다 색이 연한...",어중간하지 못했던 오타쿠의 일상,4일 전
스불재 시작.,"안녕하세요 스불재 아마추어 청룬전용어쩌고입니다 제가 또 뭘 햇냐면,,,, 다정시에게 절대 추천하지 않앗던 틴케이스 미니어쳐,즉 전에 제가 다 부순 미니어쳐를 다시 샀습니다 물론 같은 미니어쳐는 아니고 다른 거긴한데 암튼,,하핳 이거 미니어쳐 사다가 개얼탱없어서...",청룬님 팬카페 I 다정다감,4일 전
"편두통, 그리고 후두부신경차단술",결국 이것도 스불재ㅜㅜ 약 먹으면서 자세 교정도 신경써야겠습니다.ㅜㅜ 모두 건강하시길! 건강이 최고니까요. 전 또 편두통이 찾아오니 얼른 약 먹고 자야겠습니다.ㅜㅜ #신경과 #신경외과 #신경 #편두통 #원발성두통 #두통 #거북목 #직업병 #고질병 #사무직,이글로그 : 스물네 번째 J,4일 전
리완 (+ 선1),그림체 바꿔봤는데 괜찮나요..!! 요즘 그림 그리는게 너무 재밌어요// 아직 리퀘가 쌓여잇어서 좀 막막하지만 스불재라고 생각하고 열심히 해야겠죠.. 쌓인 리퀘 다 끝나고 그려드려요 늦어지거나 완전 낙서라도 괜찮은 분만 // 현대풍 좋아함니다 뉴청님 리퀘,커미션나라 ★ 글.그림.만화.애니.캐릭터.로고.디자인 외주제작,4일 전
"아아, 님은 갔습니다.",인식이 안 되는데 왜 뜨거워지는지 불 들어오는 것도 그렇고 희망고문 같아서 개빡치기만 함...ㅋㅋ 근데 이게 스불재라... 내가 티비에 너무 자주 연결한 듯... (급 반성 타임) 보니까 티비 같은 데선 안전 제거가 안 되는데 안전 제거 안 하고 빼면 이게 대미지가 무진장...,절이 싫으면 중이 떠나라 : 블로그 팔 생각 X,4일 전
포토이즘 패션쇼,제목 그대로 포토이즘에서 패션쇼 찍고 왔습니다.. 싸이코드와 커플룩으로 입고 싶다는 욕심에서 시작된 스불재... 여러분은 하지 마세요... 힘들어요...ㅋㅋ 옷을 계속 갈아입었더니 거기에서 체력 소모가... 옷 들고 가는것도 문제입니당...ㅎ (게시글에 문제 생겨서 재업...!),싸이코드 팬카페,4일 전
자나깨나감기조심 ..,방에만 틀여박혀 있으니 시간이 참 안가더라구요 쉬는 동안 평소에 보고 싶었던 드라마도 보고 영화도 보고 책도 읽고 재계약도 당했어요 ← 스불재 레전드 재계약은 어떻게 된 것이냐면요 .. ^^ 원래대로라면 만기일인 이번 달 24일에 퇴사를 하는 게 맞는데요 매니저님의...,lovessu,4일 전
[크리스마스] 12월 전에 벽에 이런거 하나쯤 걸어줘야 갬성이 살아남,솔직히 벽 전체 다 덮을 만큼의 크기도 있었음 좋겠지만 그럼 너무 스불재니까 딱 이 정도가 적당한 것 같당ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 내 방 책상 뒤 벽에 걸어뒀다. 크리스마스 새벽 느낌이 물씬 난다. 불 끄고 무드등 켜면 진짜 분위기 끝내줄 것 같음.... 그래서 무드등...,"♡Purple, love, Unique, Memory, Black♥",4일 전
안녕하세요.,씻고 영원히 잠들고 싶었지만 하다하다 학부연구까지 미룬 김서경의 스불재 ending 가지가지 ~ 그냥 졸업하고 해적이나 하고싶네 변다은씨가 주머니에 고이 모셔놨다가 꺼내준 따끈따끈 백설기(♥)랑 예진언니가 준 모찌(♥) 전날도 잠을 잘 못자서 넘나 피곤했지만 내싸랑...,無無,4일 전
